Bank account;;;Bank account;;;Banks;;;;;Bank Branch;;;;;Key payment - receipt;;;;;;Customer;;;;;;;;Provision percentage;;
SC2;SUPPLY CHAIN 2A;Subsidiaries;SC2;;;;;;;;;;;;;;;;;;;C00000158;CÔNG TY TNHH BAO BÌ ST JOHNS VIỆT NAM;SCC_05;SCC;BW SUPLLY CHAIN CITY;;;;;;
H4Q;HOLDCO4Q;Subsidiaries;H4Q;;;;;;;;;;;;;;;;;;;C00000155;CÔNG TY TNHH SANKEI (VIỆT NAM) - CHI NHÁNH BÌNH DƯƠNG;SCC_08;SCC;BW SUPLLY CHAIN CITY;;;;;;
H4R;HOLDCO4R;Subsidiaries;H4R;;;;;;;;;;;;;;;;;;;C00000148;CÔNG TY TNHH MEGA TECH VIETNAM HCMC;SCC_08;SCC;BW SUPLLY CHAIN CITY;;;;;;
H4S;HOLDCO4S;Subsidiaries;H4S;;;;;;;;;;;;;;;;;;;C00000152;CÔNG TY TNHH MỘT THÀNH VIÊN MODELLEISENBAHN VIỆT NAM;SCC_08;SCC;BW SUPLLY CHAIN CITY;;;;;;
H4T;HOLDCO4T;Subsidiaries;H4T;;;;;;;;;;;;;;;;;;;C00000136;CÔNG TY TNHH AUSPIC PRECISION ELECTRONIC;SCC_08;SCC;BW SUPLLY CHAIN CITY;;;;;;
H4U;HOLDCO4U;Subsidiaries;H4U;;;;;;;;;;;;;;;;;;;C00000166;CÔNG TY TNHH ZYLUX VIETNAM;SCC_08;SCC;BW SUPLLY CHAIN CITY;;;;;;
H4V;HOLDCO4V;Subsidiaries;H4V;;;;;;;;;;;;;;;;;;;C00000142;HFI, LLC;SCC_08;SCC;BW SUPLLY CHAIN CITY;;;;;;
H4W;HOLDCO4W;Subsidiaries;H4W;;;;;;;;;;;;;;;;;;;S00001032;CÔNG TY CỔ PHẦN ĐẦU TƯ XD & TM GIA VIỆT;BN1_01;BBN;BWID BAC NINH;;;;;;
H4X;HOLDCO4X;Subsidiaries;H4X;;;;;;;;;;;;;;;;;;;C00000183;NGÔ THỊ HÀ;BBA_02;BWD;BWID BINH DUONG;;;;;;
H4Y;HOLDCO4Y;Subsidiaries;H4Y;;;;;;;;;;;;;;;;;;;C00000188;CÔNG TY TNHH SẢN XUẤT QINGFENG VIỆT NAM;MP3_04;BWD;BWID BINH DUONG;;;;;;
H4Z;HOLDCO4Z;Subsidiaries;H4Z;;;;;;;;;;;;;;;;;;;C00000186;CÔNG TY TNHH CÔNG NGHỆ HAIXING VIỆT NAM;MP3_04;BWD;BWID BINH DUONG;;;;;;
H5Q;HOLDCO5Q;Subsidiaries;H5Q;;;;;;;;;;;;;;;;;;;C00000184;TK PRECISION TECHNOLOGY VIETNAM (HONGKONG) LIMITED;HD1_01;BHD;BWID HAI DUONG;;;;;;
H5R;HOLDCO5R;Subsidiaries;H5R;;;;;;;;;;;;;;;;;;;C00000185;CÔNG TY TNHH KỸ THUẬT CÔNG NGHỆ CAO HANJIE;SCC_04;SCC;BW SUPLLY CHAIN CITY;;;;;;
H5S;HOLDCO5S;Subsidiaries;H5S;;;;;;;;;;;;;;;;;;;C00000093;ONOGAWA ELECTORIC WORKS INC;HD1_01;BHD;BWID HAI DUONG;;;;;;
